iter	Passed	Remaining
445	1111	1380
446	1112	1376
447	1113	1372
448	1115	1368
449	1116	1364
450	1117	1360
451	1119	1356
452	1121	1353
453	1122	1350
454	1124	1346
455	1125	1342
456	1127	1339
457	1128	1335
458	1129	1331
459	1131	1328
460	1132	1324
461	1134	1320
462	1137	1318
463	1138	1315
464	1139	1311
465	1141	1307
466	1143	1304
467	1144	1300
468	1145	1297
469	1147	1293
470	1148	1289
471	1149	1286
472	1152	1283
473	1153	1280
474	1155	1276
475	1156	1273
476	1158	1269
477	1159	1266
478	1161	1262
479	1162	1259
480	1163	1255
481	1166	1253
482	1168	1250
483	1169	1247
484	1171	1243
485	1173	1241
486	1174	1237
487	1176	1234
488	1177	1230
489	1178	1227
490	1181	1225
491	1183	1221
492	1185	1218
493	1186	1215
494	1188	1212
495	1189	1208
496	1190	1205
497	1192	1201
498	1193	1198
499	1194	1194
500	1198	1193
501	1199	1190
502	1201	1186
503	1202	1183
504	1203	1180
505	1205	1176
506	1206	1173
507	1208	1170
508	1209	1166
509	1212	1165
510	1214	1162
511	1215	1158
512	1216	1155
513	1218	1151
514	1219	1148
515	1220	1144
516	1222	1141
517	1223	1138
518	1224	1135
519	1228	1133
520	1229	1130
521	1231	1127
522	1232	1124
523	1234	1121
524	1235	1117
525	1236	1114
526	1238	1111
527	1239	1107
528	1241	1105
529	1243	1102
530	1245	1099
531	1246	1096
532	1247	1093
533	1249	1089
534	1250	1086
535	1251	1083
536	1253	1080
537	1254	1077
538	1258	1076
539	1259	1073
540	1261	1069
541	1262	1066
542	1264	1063
543	1265	1060
544	1266	1057
545	1267	1054
546	1269	1051
547	1271	1048
548	1273	1045
549	1274	1043
550	1276	1040
551	1278	1037
552	1279	1034
553	1281	1031
554	1282	1028
555	1284	1025
556	1287	1023
557	1288	1020
558	1290	1017
559	1291	1014
560	1293	1011
561	1294	1008
562	1296	1006
563	1297	1003
564	1299	1000
565	1300	997
566	1303	995
567	1304	992
568	1305	988
569	1306	985
570	1308	982
571	1309	979
572	1310	976
573	1312	973
574	1313	971
575	1315	968
576	1318	966
577	1319	963
578	1320	960
579	1322	957
580	1323	954
581	1324	951
582	1326	948
583	1327	945
584	1329	942
585	1330	940
586	1332	937
587	1334	934
588	1335	931
589	1337	929
590	1338	926
591	1339	923
592	1341	920
593	1342	917
594	1344	914
595	1345	912
596	1347	909
597	1348	906
598	1350	903
599	1351	901
600	1352	898
601	1354	895
602	1355	892
603	1357	889
604	1358	887
605	1361	885
606	1363	882
607	1364	879
608	1366	877
609	1367	874
610	1369	871
611	1370	869
612	1371	866
613	1373	863
614	1375	860
615	1376	858
616	1378	855
617	1379	852
618	1380	849
619	1382	847
620	1383	844
621	1385	841
622	1386	839
623	1387	836
624	1390	834
625	1392	831
626	1393	829
627	1395	826
628	1396	823
629	1398	821
630	1399	818
631	1401	815
632	1402	813
633	1403	810
634	1406	808
635	1407	805
636	1408	802
637	1410	800
638	1411	797
639	1412	794
640	1414	792
641	1415	789
642	1416	786
643	1418	783
644	1420	782
645	1422	779
646	1423	776
647	1425	774
648	1426	771
649	1428	769
650	1430	766
651	1431	764
652	1433	761
653	1436	760
654	1438	757
655	1439	755
656	1441	752
657	1442	749
658	1444	747
659	1445	744
660	1447	742
661	1448	739
662	1451	737
663	1453	735
664	1455	732
665	1456	730
666	1458	728
667	1460	725
668	1461	723
669	1463	720
670	1466	718
671	1467	716
672	1469	714
673	1471	711
674	1472	708
675	1474	706
676	1475	704
677	1477	701
678	1478	698
679	1481	697
680	1482	694
681	1484	692
682	1485	689
683	1487	687
684	1489	684
685	1490	682
686	1492	679
687	1494	677
688	1495	675
689	1496	672
690	1498	670
691	1499	667
692	1500	664
693	1502	662
694	1503	659
695	1504	657
696	1506	654
697	1508	652
698	1510	650
699	1511	647
700	1513	645
701	1514	642
702	1515	640
703	1517	637
704	1518	635
705	1519	632
706	1521	630
707	1524	628
708	1526	626
709	1527	624
710	1529	621
711	1530	619
712	1531	616
713	1533	614
714	1534	611
715	1536	609
716	1539	607
717	1541	605
718	1542	602
719	1544	600
720	1546	598
721	1547	595
722	1548	593
723	1550	590
724	1552	588
725	1554	586
726	1555	584
727	1557	581
728	1558	579
729	1560	577
730	1561	574
731	1562	572
732	1564	569
733	1565	567
734	1568	565
735	1569	563
736	1571	560
737	1572	558
738	1573	555
739	1575	553
740	1576	550
741	1577	548
742	1578	546
743	1580	543
744	1583	541
745	1584	539
746	1586	537
747	1587	534
748	1588	532
749	1589	529
750	1591	527
751	1592	525
752	1594	522
753	1595	520
754	1598	518
755	1599	516
756	1601	514
757	1602	511
758	1604	509
759	1605	506
760	1606	504
761	1607	502
762	1609	500
763	1611	497
764	1613	495
765	1614	493
766	1615	490
767	1617	488
768	1618	486
769	1620	483
770	1621	481
771	1623	479
772	1624	477
773	1627	475
774	1628	472
775	1630	470
776	1631	468
777	1633	466
778	1634	463
779	1636	461
780	1637	459
781	1639	456
782	1640	454
783	1643	452
784	1644	450
785	1646	448
786	1647	445
787	1648	443
788	1649	441
789	1651	438
790	1652	436
791	1654	434
792	1655	432
793	1657	430
794	1659	427
795	1660	425
796	1661	423
797	1663	421
798	1664	418
799	1666	416
800	1667	414
801	1668	412
802	1670	409
803	1672	407
804	1673	405
805	1675	403
806	1676	400
807	1677	398
808	1679	396
809	1680	394
810	1682	392
811	1683	389
812	1685	387
813	1687	385
814	1688	383
815	1690	381
816	1691	378
817	1692	376
818	1694	374
819	1695	372
820	1696	369
821	1698	367
822	1699	365
823	1702	363
824	1703	361
825	1704	359
826	1706	356
